KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
21.968,26.92542188,19.6939801,13.66774088,16.54958679,,0.5904,0.4525
21.972,26.94251447,19.73688384,13.67280735,16.53907735,,0.5907,0.4527
21.976,26.9562471,19.78299822,13.68191366,16.52677189,,0.591,0.453
21.98,26.9674025,19.83014106,13.69393571,16.51229463,,0.5912,0.4533
21.984,26.97824433,19.87725213,13.70756562,16.49750406,,0.5915,0.4536
21.988,26.98847306,19.92246386,13.72293464,16.48547765,,0.5917,0.454
21.992,26.99592151,19.96355059,13.73952141,16.47704439,,0.5919,0.4543
21.996,27.00063161,20.00097325,13.75592169,16.4709791,,0.592,0.4546
22,27.00283868,20.03630654,13.77093805,16.46574636,,0.5921,0.4548
22.004,27.00231573,20.06877913,13.78373125,16.4600859,,0.5922,0.4551
22.008,26.99851681,20.09663628,13.79479177,16.45413059,,0.5922,0.4553
22.012,26.98975277,20.1186203,13.80534498,16.44867634,,0.5922,0.4556
22.016,26.97535223,20.13443855,13.81604203,16.44310495,,0.5922,0.4558
22.02,26.9556887,20.14334256,13.82827429,16.43723023,,0.5921,0.456
22.024,26.93079927,20.14471418,13.84382612,16.43302589,,0.592,0.4562
22.028,26.90174601,20.14036116,13.86167722,16.43248899,,0.5917,0.4564
22.032,26.86872681,20.13269393,13.88057171,16.43573738,,0.5914,0.4566
22.036,26.83031084,20.12387148,13.90120966,16.44085809,,0.591,0.4568
22.0399,26.78731957,20.11422518,13.92338778,16.44597058,,0.5906,0.457
22.0439,26.74094137,20.10196337,13.94744148,16.45117318,,0.5901,0.4572
22.0479,26.68962403,20.08637899,13.97473496,16.45679181,,0.5896,0.4575
22.0519,26.63248498,20.0687228,14.00477143,16.46257091,,0.5891,0.4578
22.0559,26.57222338,20.05078518,14.03658759,16.47008679,,0.5885,0.4581
22.0599,26.50926781,20.03354444,14.07131602,16.48075655,,0.5878,0.4584
22.0639,26.44079924,20.01904114,14.10982344,16.49284177,,0.5871,0.4587
22.0679,26.36769552,20.01019575,14.151866,16.50315111,,0.5864,0.4592
22.0719,26.29090132,20.00731891,14.19876284,16.51076502,,0.5857,0.4597
22.0759,26.20945591,20.00850036,14.25156572,16.51818741,,0.585,0.4603
22.0799,26.12476923,20.01198374,14.30900868,16.52718955,,0.5842,0.4609
22.0839,26.03803689,20.01807428,14.36974166,16.53630759,,0.5833,0.4616
22.0879,25.9471643,20.02867627,14.43454443,16.54263295,,0.5825,0.4623
22.0919,25.84991755,20.04480018,14.50518122,16.54379644,,0.5817,0.4632
22.0959,25.74902551,20.06743509,14.58088796,16.5383322,,0.5809,0.4641
22.0999,25.64805722,20.09737706,14.66012542,16.52782604,,0.5801,0.4652
22.1039,25.54820175,20.13312959,14.74154868,16.51646642,,0.5794,0.4662
22.1079,25.45185321,20.17260747,14.82107882,16.5056425,,0.5787,0.4673
22.1119,25.35975801,20.2161453,14.8961334,16.49368665,,0.578,0.4684
22.1159,25.27052009,20.26605508,14.96773649,16.4794549,,0.5775,0.4694
22.12,25.1848599,20.32230673,15.03629888,16.46259815,,0.577,0.4705
22.124,25.10469855,20.38160621,15.10158826,16.44193121,,0.5766,0.4716
22.128,25.03112659,20.4426434,15.16576798,16.4178659,,0.5763,0.4726
22.132,24.96593504,20.5062796,15.23032538,16.39413928,,0.5761,0.4736
22.136,24.911678,20.57053484,15.29048159,16.37364473,,0.5758,0.4746
22.14,24.86938847,20.63292805,15.34149266,16.35573321,,0.5757,0.4754
22.144,24.83861094,20.69342979,15.38422595,16.34039291,,0.5757,0.4761
22.148,24.81896568,20.75156233,15.41973204,16.3302342,,0.5757,0.4767
22.152,24.80991444,20.80491933,15.44612603,16.32563845,,0.5757,0.4772
22.156,24.8093055,20.85039372,15.46111018,16.32388178,,0.5759,0.4775
22.16,24.81541265,20.88510765,15.46452895,16.32178959,,0.576,0.4777
22.164,24.82868383,20.90754033,15.45673543,16.31834045,,0.5763,0.4777
22.168,24.84780462,20.91807334,15.43823342,16.31350849,,0.5765,0.4776
22.172,24.86878684,20.9185164,15.41113124,16.30508623,,0.5769,0.4774
22.176,24.88958525,20.91116998,15.37830543,16.2921354,,0.5772,0.4772
22.18,24.91095796,20.89736884,15.34148884,16.27574097,,0.5776,0.4769
22.184,24.93440283,20.87909124,15.30075196,16.25623314,,0.578,0.4766
22.188,24.96004854,20.85937936,15.25760796,16.2345619,,0.5785,0.4763
22.192,24.98901921,20.83958052,15.21342778,16.21301645,,0.5789,0.4759
22.196,25.02398577,20.81975786,15.16657123,16.19382571,,0.5794,0.4755
22.1999,25.06348698,20.7999237,15.1156485,16.17746845,,0.58,0.4751
22.2039,25.10670225,20.77958569,15.0599472,16.1622969,,0.5805,0.4746
22.2079,25.1569385,20.75819562,14.99909765,16.14672284,,0.5811,0.474
22.2119,25.21476837,20.73554361,14.93496489,16.13200123,,0.5818,0.4734
22.2159,25.27719483,20.71245386,14.87009036,16.12090181,,0.5825,0.4727
22.2199,25.34254082,20.6899664,14.80555752,16.11458595,,0.5832,0.472
22.2239,25.41105174,20.66721875,14.74208812,16.11323061,,0.5838,0.4713
22.2279,25.48153595,20.64247942,14.68134961,16.11541169,,0.5844,0.4705
22.2319,25.55260646,20.61440826,14.62342657,16.11973591,,0.5849,0.4698
22.2359,25.62301295,20.5823074,14.56653999,16.12762587,,0.5854,0.469
22.24,25.68968423,20.5469908,14.51128061,16.13912815,,0.5858,0.4682
22.244,25.75206979,20.51026604,14.45983432,16.15274716,,0.5862,0.4674
22.248,25.8135228,20.47342718,14.41331676,16.16907491,,0.5865,0.4667
22.252,25.8763468,20.43703995,14.37252232,16.18904523,,0.5868,0.4659
22.256,25.93981066,20.40182541,14.33799621,16.21194059,,0.587,0.4652
22.26,26.00354263,20.36855251,14.30814519,16.23794369,,0.5871,0.4645
22.264,26.06862879,20.33682487,14.27978526,16.26877929,,0.5872,0.4638
22.268,26.13458855,20.30542725,14.2517985,16.30447195,,0.5873,0.463
22.272,26.20043996,20.27074015,14.22438506,16.34414104,,0.5874,0.4623
22.276,26.26589713,20.22825545,14.19707421,16.38648618,,0.5874,0.4614
22.28,26.33029577,20.1780827,14.16926366,16.42954976,,0.5874,0.4606
22.284,26.39298957,20.12017784,14.13859257,16.47343132,,0.5873,0.4597
22.288,26.4544899,20.05223177,14.10288163,16.51967618,,0.5872,0.4587
22.292,26.51612642,19.97644392,14.06383424,16.56924,,0.5871,0.4576
22.296,26.57903062,19.89894377,14.02381446,16.62183613,,0.5869,0.4565
22.3,26.64565568,19.82458453,13.98405782,16.67640885,,0.5868,0.4554
22.304,26.71843785,19.75575007,13.94533194,16.73132619,,0.5867,0.4544
22.308,26.7967753,19.69397951,13.90636311,16.78481558,,0.5867,0.4533
22.312,26.88170249,19.63793267,13.86589117,16.83844455,,0.5867,0.4522
22.316,26.97546159,19.58467392,13.82510578,16.89385859,,0.5868,0.4511
22.3199,27.07510208,19.53516906,13.78548519,16.94896607,,0.5869,0.45
22.3239,27.17743784,19.49014077,13.74614578,17.00232921,,0.5871,0.4489
22.3279,27.28178947,19.44719963,13.70537763,17.05444598,,0.5873,0.4479
22.3319,27.38520411,19.40594106,13.66468889,17.10675679,,0.5875,0.4468
22.3359,27.48566289,19.36741366,13.6275183,17.16033091,,0.5876,0.4458
22.3399,27.58306412,19.33122183,13.59520989,17.21417602,,0.5877,0.4448
22.3439,27.67513641,19.29619582,13.56668847,17.26687698,,0.5878,0.4439
22.3479,27.7602752,19.26174938,13.54022694,17.31793525,,0.5879,0.4431
22.3519,27.84146565,19.2265186,13.51523604,17.36710037,,0.5879,0.4422
22.3559,27.92234272,19.18876542,13.49199651,17.41432307,,0.5879,0.4414
22.3599,28.00020618,19.15041541,13.47016727,17.4596588,,0.588,0.4406
22.3639,28.07185996,19.11417931,13.44841809,17.50284166,,0.588,0.4398
22.3679,28.13792909,19.0802106,13.42613536,17.54362447,,0.588,0.4391
22.3719,28.19654296,19.0473017,13.40440867,17.58217254,,0.588,0.4385
22.3759,28.24631678,19.01399719,13.38378296,17.61879076,,0.588,0.4378
22.3799,28.28959532,18.98046013,13.36427923,17.65310069,,0.5879,0.4373
22.3839,28.32833999,18.94773129,13.34690075,17.68434094,,0.5878,0.4367
22.3879,28.3629148,18.91568815,13.33226326,17.71198534,,0.5878,0.4362
22.3919,28.39108728,18.88354465,13.31971237,17.73602892,,0.5877,0.4358
22.3959,28.40896151,18.85080745,13.30890536,17.75764931,,0.5875,0.4354
22.4,28.41682611,18.8173421,13.30134701,17.77867651,,0.5873,0.4351
22.404,28.41736723,18.78157286,13.29867788,17.79972001,,0.5871,0.4348
22.408,28.40997115,18.7417519,13.29967252,17.81919988,,0.5867,0.4345
22.412,28.39413459,18.69942812,13.30061369,17.83585943,,0.5864,0.4343
22.416,28.37032783,18.65510697,13.30023107,17.84996493,,0.586,0.4341
22.42,28.33755882,18.60636175,13.30046453,17.86205622,,0.5856,0.4339
22.424,28.29728622,18.55329276,13.3013379,17.87300873,,0.5851,0.4337
22.428,28.25385339,18.49971229,13.30130338,17.8818922,,0.5846,0.4336
22.432,28.20789383,18.44694006,13.29911159,17.88623184,,0.5841,0.4334
22.436,28.15642657,18.39247804,13.2940576,17.88596704,,0.5837,0.4333
22.44,28.10023631,18.33737691,13.28631361,17.88258701,,0.5833,0.4332
22.444,28.04097109,18.28378991,13.27754289,17.87695141,,0.5829,0.4331
22.448,27.97788192,18.23041377,13.26999401,17.86976533,,0.5825,0.433
22.452,27.91299564,18.17649603,13.26371237,17.86287503,,0.582,0.4329
22.456,27.84933857,18.12200525,13.25929789,17.85684305,,0.5816,0.4329
22.46,27.78708605,18.06591835,13.25744056,17.85027734,,0.5811,0.4328
22.464,27.72572449,18.00841096,13.25561823,17.84485735,,0.5806,0.4327
22.468,27.66754719,17.95213138,13.25164516,17.84306152,,0.5802,0.4326
22.472,27.61641365,17.89925855,13.24593714,17.84380194,,0.5797,0.4325
22.476,27.57314522,17.85052217,13.23901261,17.84589168,,0.5794,0.4323
22.4799,27.53567877,17.80601782,13.23159705,17.85048348,,0.579,0.4322
22.4839,27.50167327,17.76553419,13.22568254,17.85811855,,0.5787,0.432
22.4879,27.47018316,17.72939857,13.22176281,17.86753427,,0.5783,0.4319
22.4919,27.44172568,17.69714901,13.21808751,17.87732853,,0.578,0.4317
22.4959,27.41703673,17.6668446,13.21427007,17.88706575,,0.5777,0.4316
22.4999,27.39665509,17.63669867,13.21082759,17.89606357,,0.5774,0.4315
22.5039,27.37994804,17.60823062,13.20662556,17.90210554,,0.5772,0.4313
22.5079,27.36611639,17.58567853,13.20188276,17.90431587,,0.5771,0.4312
22.5119,27.35699798,17.57320747,13.19822947,17.90361845,,0.577,0.4312
22.5159,27.3552782,17.57320159,13.19548252,17.90017595,,0.577,0.4312
22.52,27.36116597,17.58376443,13.19283988,17.89537418,,0.5772,0.4312
22.524,27.37465422,17.60167996,13.1916062,17.89183012,,0.5773,0.4313
22.528,27.39671012,17.62527075,13.19351764,17.89016001,,0.5775,0.4313
22.532,27.42646239,17.65211498,13.19747319,17.88934293,,0.5778,0.4314
22.536,27.46078124,17.67928044,13.20138025,17.88862849,,0.578,0.4314
22.54,27.49655258,17.70524382,13.20401971,17.88862551,,0.5783,0.4315
22.544,27.53178211,17.72927308,13.20468914,17.8894602,,0.5786,0.4315
22.548,27.56435584,17.74906409,13.20379141,17.89171459,,0.5788,0.4314
22.552,27.59147708,17.76136779,13.20238301,17.89706396,,0.5789,0.4314
22.556,27.61194712,17.76473384,13.20124705,17.90398628,,0.579,0.4313
22.56,27.62708521,17.75981174,13.20070752,17.91102925,,0.579,0.4312
22.564,27.63764997,17.74667735,13.19978622,17.91969325,,0.5789,0.431
22.568,27.64263523,17.72370643,13.19722523,17.93018018,,0.5788,0.4308
22.572,27.6416744,17.69213107,13.19368579,17.94131313,,0.5786,0.4306
22.576,27.63460617,17.65602906,13.19011091,17.95344216,,0.5784,0.4303
22.58,27.621994,17.61820999,13.18693337,17.96777278,,0.5781,0.4301
22.584,27.60791415,17.58015473,13.18580905,17.9845389,,0.5777,0.4299
22.588,27.59466252,17.54294051,13.18736634,18.00348092,,0.5774,0.4296
22.592,27.58039651,17.50752487,13.19034019,18.02303968,,0.577,0.4294
22.596,27.56513023,17.47486829,13.19467968,18.04156565,,0.5766,0.4293
22.5999,27.55216305,17.44655918,13.20112086,18.05979403,,0.5763,0.4291
22.6039,27.54385142,17.42437004,13.20950002,18.07914553,,0.576,0.429
22.6079,27.54007495,17.40834397,13.21883599,18.10020414,,0.5757,0.4289
22.6119,27.54130919,17.39576144,13.22711367,18.12234452,,0.5754,0.4288
22.6159,27.54920343,17.38257214,13.23300379,18.14554148,,0.5752,0.4286
22.6199,27.56251027,17.36607719,13.2373179,18.17097089,,0.575,0.4284
22.6239,27.57608252,17.34689418,13.24086716,18.19860924,,0.5748,0.4282
22.6279,27.58710926,17.32719619,13.24270842,18.22786661,,0.5745,0.4279
22.6319,27.59600895,17.30763484,13.24149999,18.25782646,,0.5743,0.4276
22.6359,27.60187529,17.28787178,13.23816851,18.28569777,,0.5741,0.4274
22.6399,27.6039277,17.26855269,13.2351638,18.30871244,,0.5739,0.4272
22.6439,27.6042477,17.25144824,13.23288043,18.32839946,,0.5737,0.427
22.6479,27.60509966,17.23726418,13.23082203,18.34803461,,0.5735,0.4268
22.6519,27.60633626,17.22539858,13.23096082,18.3662265,,0.5733,0.4267
22.6559,27.60879701,17.21730271,13.23479191,18.38075957,,0.5732,0.4266
22.6599,27.61485321,17.21540874,13.24240166,18.39314735,,0.5731,0.4265
22.6639,27.62421828,17.21896991,13.25490546,18.40436348,,0.573,0.4265
22.6679,27.63534104,17.22700094,13.27064956,18.41429602,,0.5729,0.4266
22.6719,27.64773614,17.23983551,13.28538636,18.42439619,,0.5728,0.4267
22.6759,27.66141792,17.25565011,13.29826547,18.43598471,,0.5728,0.4267
22.68,27.6766769,17.27177397,13.31116144,18.44908962,,0.5728,0.4268
22.684,27.69165322,17.28793702,13.32604621,18.4637752,,0.5727,0.4269
22.688,27.70351032,17.30563244,13.34372222,18.4798641,,0.5727,0.427
22.692,27.71194144,17.32487774,13.36237099,18.49544909,,0.5726,0.4271
22.696,27.71640549,17.34441468,13.38152141,18.50865309,,0.5725,0.4272
22.7,27.71511073,17.36443024,13.40214228,18.51837647,,0.5724,0.4274
22.704,27.70811702,17.38573862,13.42170365,18.52337499,,0.5723,0.4277
22.708,27.69670048,17.40806083,13.43777237,18.52349355,,0.5722,0.4279
22.712,27.68098255,17.43079347,13.45127252,18.51904304,,0.5722,0.4282
22.716,27.66125507,17.45398719,13.46399699,18.51085534,,0.5722,0.4285
22.72,27.638156,17.47957206,13.47971793,18.49974931,,0.5722,0.4289
22.724,27.61172782,17.51115426,13.50309861,18.48562059,,0.5721,0.4293
22.728,27.58326454,17.55072907,13.533971,18.46915307,,0.5721,0.4299
22.732,27.55466606,17.59661098,13.56810127,18.45159588,,0.572,0.4305
22.736,27.52610063,17.64664781,13.60454088,18.43527425,,0.572,0.4312
22.74,27.49567972,17.70148639,13.64636226,18.42232725,,0.5719,0.4319
22.744,27.46173829,17.75992813,13.69407303,18.41161828,,0.5718,0.4326
22.748,27.42342983,17.81796453,13.74642695,18.40151877,,0.5716,0.4334
22.752,27.37900286,17.8732293,13.80246775,18.39258996,,0.5714,0.4342
22.756,27.32810176,17.92477669,13.85925054,18.38524272,,0.5711,0.4351
22.7599,27.27139749,17.97068664,13.91475529,18.37860941,,0.5707,0.4359
22.7639,27.20877385,18.00779323,13.96913516,18.37227098,,0.5703,0.4366
22.7679,27.14193104,18.03520316,14.02189423,18.36696352,,0.5698,0.4373
22.7719,27.07355131,18.05371885,14.07146589,18.36337593,,0.5693,0.438
22.7759,27.00299547,18.06343541,14.11801832,18.36164768,,0.5687,0.4386
22.7799,26.92735556,18.06559196,14.16307808,18.36039046,,0.5681,0.4391
22.7839,26.84758863,18.06129381,14.20479195,18.35672036,,0.5675,0.4397
22.7879,26.76563176,18.05051846,14.24182283,18.35067898,,0.5669,0.4402
22.7919,26.68022001,18.03457918,14.27633655,18.34569701,,0.5662,0.4406
22.7959,26.59120587,18.01492805,14.3095723,18.34319729,,0.5655,0.441
22.7999,26.49942726,17.99105147,14.34218337,18.34184881,,0.5648,0.4414
22.8039,26.4050877,17.96354399,14.37457931,18.34135996,,0.564,0.4418
22.8079,26.30982173,17.93576952,14.4061555,18.3420037,,0.5632,0.4422
22.8119,26.21717899,17.90986288,14.43760637,18.34259439,,0.5625,0.4426
22.8159,26.1278253,17.88737144,14.47068387,18.34081042,,0.5617,0.4431
22.8199,26.03979042,17.87072678,14.50639233,18.3354162,,0.5611,0.4435
22.8239,25.95530447,17.86006837,14.54600244,18.32913285,,0.5604,0.444
22.8279,25.87673242,17.85526801,14.59078812,18.32451421,,0.5598,0.4446
22.8319,25.80338289,17.85775721,14.64001935,18.31993719,,0.5591,0.4452
22.8359,25.7349067,17.86773099,14.69117255,18.31485383,,0.5586,0.4458
22.84,25.67085616,17.8838668,14.74321822,18.31091781,,0.558,0.4465
22.844,25.61179855,17.90471552,14.79673121,18.3082175,,0.5575,0.4471
22.848,25.55940332,17.92864612,14.8498716,18.30668267,,0.5571,0.4477
22.852,25.51352983,17.95248746,14.89940345,18.30781124,,0.5567,0.4483
22.856,25.47256846,17.97284311,14.94441211,18.3147515,,0.5562,0.4488
22.86,25.43497811,17.98860494,14.98530241,18.32915043,,0.5558,0.4492
22.864,25.39999718,17.99919375,15.02141225,18.34819089,,0.5553,0.4495
22.868,25.36711541,18.00469743,15.05393719,18.367303,,0.5549,0.4498
22.872,25.33470871,18.00822875,15.08734963,18.38328601,,0.5544,0.45
22.876,25.30230476,18.01383075,15.12488548,18.39692123,,0.554,0.4503
22.8799,25.27022484,18.0207652,15.16719638,18.41167633,,0.5535,0.4507
22.8839,25.23672103,18.02503841,15.21290233,18.42925338,,0.553,0.451
22.8879,25.19962435,18.0269076,15.25914918,18.44899338,,0.5524,0.4513
22.8919,25.15618697,18.02909482,15.30719818,18.47047366,,0.5518,0.4517
22.8959,25.10326203,18.03292917,15.36180131,18.49316017,,0.551,0.4521
22.8999,25.03969047,18.03810977,15.42274157,18.51383184,,0.5503,0.4527
22.9039,24.96573017,18.04317473,15.48636212,18.529261,,0.5494,0.4533
22.9079,24.88051098,18.05011539,15.55435229,18.5398981,,0.5486,0.454
22.9119,24.78314989,18.06446065,15.63159597,18.54824196,,0.5476,0.4548
22.9159,24.67666993,18.08805813,15.71758802,18.55544743,,0.5467,0.4558
22.9199,24.56464532,18.12087606,15.81136235,18.56149194,,0.5457,0.4569
22.9239,24.44945339,18.16470413,15.914732,18.56728794,,0.5447,0.4581
22.9279,24.33622232,18.21810797,16.02541128,18.57436339,,0.5437,0.4594
22.9319,24.23012096,18.27867956,16.13995312,18.58384073,,0.5427,0.4607
22.9359,24.13367912,18.34569728,16.25689505,18.59624065,,0.5418,0.462
22.9399,24.04952524,18.41630122,16.3718864,18.61040077,,0.5409,0.4633
22.9439,23.97872752,18.48574006,16.47837981,18.62470236,,0.5402,0.4644
22.9479,23.91925912,18.54751272,16.5732556,18.64140403,,0.5395,0.4654
22.9519,23.86834604,18.59512494,16.65704997,18.66372124,,0.5389,0.4662
22.9559,23.82414726,18.62615004,16.72972999,18.6895565,,0.5382,0.4668
22.96,23.7837964,18.64085754,16.79079901,18.71578731,,0.5376,0.4672
22.964,23.74303773,18.64041805,16.8415479,18.74191753,,0.5369,0.4676
22.968,23.70117573,18.62724344,16.88389778,18.76626533,,0.5363,0.4678
22.972,23.65847252,18.60279697,16.91852072,18.78746381,,0.5356,0.4679
22.976,23.61368093,18.56877671,16.9449681,18.80749244,,0.5349,0.468
22.98,23.56743802,18.52916016,16.96309131,18.82720576,,0.5343,0.468
22.984,23.52221323,18.48731637,16.97325942,18.84371324,,0.5337,0.4679
22.988,23.48018301,18.44601171,16.97730011,18.85416534,,0.5332,0.4679
22.992,23.44154041,18.40895452,16.978632,18.85789663,,0.5328,0.4679
22.996,23.40621342,18.37820035,16.9810338,18.85610783,,0.5324,0.4679
23,23.37517328,18.35350967,16.98601388,18.85069173,,0.5322,0.4679
23.004,23.34956321,18.3354443,16.99133173,18.84231231,,0.532,0.468
23.008,23.33071373,18.32446996,16.9944994,18.83060553,,0.5319,0.4681
23.012,23.31788574,18.31860283,16.9925489,18.81494444,,0.5319,0.4682
23.016,23.30808242,18.31564152,16.98304865,18.79522161,,0.532,0.4682
23.02,23.29977233,18.31540859,16.9674224,18.7730398,,0.5322,0.4683
23.024,23.29326206,18.31853114,16.94828112,18.74958358,,0.5324,0.4683
23.028,23.2889221,18.3250643,16.92824872,18.72373727,,0.5327,0.4684
23.032,23.28628326,18.33389192,16.90902401,18.69575886,,0.533,0.4685
23.036,23.28440039,18.34308851,16.88923214,18.66904259,,0.5333,0.4685
23.0399,23.28075413,18.35216711,16.86968582,18.64336333,,0.5336,0.4686
23.0439,23.27117622,18.36221868,16.85551472,18.6136203,,0.5339,0.4688
23.0479,23.25332469,18.37432365,16.84991403,18.57886296,,0.5341,0.469
23.0519,23.22298824,18.39019403,16.85423814,18.54022248,,0.5342,0.4694
23.0559,23.17246991,18.41149982,16.8710845,18.49554293,,0.5342,0.47
23.0599,23.09799582,18.43778999,16.90243757,18.44469225,,0.5341,0.4709
23.0639,22.99664181,18.46935364,16.95069841,18.38824437,,0.5338,0.4719
23.0679,22.86523565,18.5097321,17.01870047,18.32409632,,0.5333,0.4733
23.0719,22.70838628,18.56161523,17.10502915,18.25090476,,0.5327,0.475
23.0759,22.5343885,18.62434725,17.20596446,18.16967444,,0.532,0.477
23.0799,22.34233344,18.69787492,17.32185417,18.08041537,,0.5312,0.4792
23.0839,22.12698939,18.78454752,17.45500219,17.980473,,0.5304,0.4817
23.0879,21.89494265,18.88495152,17.60313524,17.869487,,0.5295,0.4845
23.0919,21.65088509,18.99989403,17.76590094,17.74746178,,0.5286,0.4875
23.0959,21.39103836,19.1310047,17.94482993,17.61147645,,0.5276,0.4909
23.0999,21.12030508,19.27454992,18.13380013,17.46248333,,0.5267,0.4944
23.1039,20.84155806,19.43031874,18.32853747,17.30123141,,0.5259,0.4982
23.1079,20.55225084,19.6051956,18.53072405,17.12572766,,0.5251,0.5022
23.1119,20.26125835,19.79989182,18.73833225,16.94060702,,0.5245,0.5064
23.1159,19.98138244,20.00975842,18.94643672,16.75366484,,0.524,0.5106
23.12,19.71735053,20.23907135,19.15533384,16.56750889,,0.5237,0.5148
23.124,19.47179398,20.49712457,19.36946409,16.38352552,,0.5236,0.5191
23.128,19.25232754,20.77976312,19.58752959,16.20956502,,0.5236,0.5234
23.132,19.06491025,21.08075743,19.80696502,16.05241495,,0.5239,0.5274
23.136,18.90821239,21.39938974,20.02772641,15.91215145,,0.5243,0.5313
23.14,18.77899947,21.7230485,20.24414674,15.7888429,,0.5247,0.5349
23.144,18.67184279,22.0375736,20.45112001,15.68297757,,0.5252,0.5382
23.148,18.57922361,22.33556837,20.64729182,15.59480532,,0.5256,0.5412
23.152,18.49793034,22.60330385,20.82769024,15.5248263,,0.526,0.5439
23.156,18.42692673,22.82717357,20.98761141,15.47223793,,0.5261,0.5461
23.16,18.36268945,23.00353355,21.12644188,15.43354712,,0.5261,0.5479
23.164,18.30209554,23.13426124,21.24469147,15.40417863,,0.526,0.5494
23.168,18.24451674,23.22398274,21.34317844,15.38278585,,0.5257,0.5505
23.172,18.18872279,23.28103469,21.42385009,15.3696899,,0.5253,0.5515
23.176,18.13369892,23.31398454,21.49007591,15.36251846,,0.5248,0.5522
23.18,18.08186925,23.32735942,21.54491082,15.35744984,,0.5244,0.5527
23.184,18.03699586,23.3260385,21.587454,15.35303039,,0.5239,0.5532
23.188,18.00236192,23.31856953,21.61446614,15.34946605,,0.5236,0.5534
23.192,17.98130329,23.31152316,21.6258916,15.34566955,,0.5234,0.5536
23.196,17.97583461,23.30762009,21.62381497,15.3405334,,0.5234,0.5536
23.1999,17.98761973,23.30923428,21.60788771,15.33611998,,0.5236,0.5535
23.2039,18.01946555,23.31782562,21.57662504,15.33479194,,0.5239,0.5533
23.2079,18.0709799,23.33245153,21.53104938,15.33508642,,0.5245,0.5529
23.2119,18.14117848,23.34870055,21.47041891,15.33750952,,0.5253,0.5523
23.2159,18.22937591,23.35994563,21.39161982,15.34547114,,0.5262,0.5515
23.2199,18.32904886,23.36138347,21.29686197,15.35805351,,0.5272,0.5506
23.2239,18.43525924,23.34818767,21.18936327,15.37243253,,0.5282,0.5495
23.2279,18.54791989,23.31641809,21.0688501,15.38886838,,0.5292,0.5482
23.2319,18.66366918,23.26783974,20.93744403,15.40873253,,0.5302,0.5468
23.2359,18.78081425,23.20555714,20.79547769,15.43034224,,0.5312,0.5452
23.24,18.90319307,23.1314243,20.64060561,15.45054669,,0.5322,0.5436
23.244,19.0320695,23.04887509,20.47589628,15.46904777,,0.5333,0.5418
23.248,19.16531272,22.96210253,20.30698895,15.48737082,,0.5344,0.5399
23.252,19.30575743,22.87187872,20.13374653,15.5077548,,0.5356,0.538
23.256,19.45927796,22.77573079,19.95276803,15.53219983,,0.5368,0.536
23.26,19.6232287,22.67504167,19.76819307,15.56046862,,0.538,0.5338
23.264,19.79408861,22.5724714,19.5833542,15.59263616,,0.5393,0.5315
23.268,19.97430079,22.46840439,19.39513367,15.63049405,,0.5405,0.5292
23.272,20.15942656,22.36461323,19.20683016,15.67448786,,0.5418,0.5268
23.276,20.34320645,22.25921154,19.02265522,15.72407265,,0.543,0.5244
23.28,20.52655347,22.14804312,18.84197725,15.77829554,,0.5441,0.5219
23.284,20.70650889,22.033276,18.66837872,15.83482714,,0.5451,0.5195
23.288,20.87552,21.92017165,18.50759897,15.89190076,,0.5461,0.5171
23.292,21.03169332,21.80897735,18.35868578,15.9495222,,0.5468,0.5149
23.296,21.17803138,21.697108,18.21718551,16.00669078,,0.5475,0.5128
23.3,21.31479609,21.58700046,18.08335691,16.06000791,,0.5481,0.5108
23.304,21.44125557,21.48082088,17.95873411,16.10843744,,0.5487,0.5089
23.308,21.55919708,21.37782523,17.84230508,16.1539817,,0.5492,0.5071
23.312,21.66867107,21.27958573,17.73503177,16.19763706,,0.5497,0.5054
23.316,21.76940649,21.18751766,17.63891928,16.24067994,,0.55,0.5038
23.3199,21.86384828,21.10275789,17.55326273,16.28583384,,0.5503,0.5024
23.3239,21.95402761,21.02841593,17.47717024,16.33305917,,0.5506,0.501
