KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.3199,20.71520945,25.30384173,17.30944815,12.5649929,,0.5901,0.5444
0.3239,20.72212181,25.35984147,17.35365262,12.58195313,,0.5899,0.5447
0.3279,20.73258632,25.39531872,17.40261698,12.61697874,,0.5896,0.5448
0.3319,20.7452876,25.41103448,17.4540178,12.66707383,,0.589,0.5448
0.3359,20.76029971,25.4051103,17.50907717,12.73306072,,0.5882,0.5445
0.3399,20.77836679,25.37347222,17.57037419,12.81725466,,0.5872,0.5441
0.3439,20.79875173,25.31620945,17.63625964,12.91626657,,0.5859,0.5435
0.3479,20.82064135,25.23297825,17.70301427,13.02770175,,0.5845,0.5428
0.3519,20.84527868,25.12269487,17.7671627,13.15308572,,0.5829,0.5418
0.3559,20.87553977,24.99134717,17.82478171,13.28971262,,0.5811,0.5406
0.3599,20.91568902,24.84238704,17.87398168,13.4367377,,0.5794,0.5392
0.3639,20.96942033,24.6734494,17.91254263,13.59679773,,0.5776,0.5376
0.3679,21.03739285,24.48802554,17.936492,13.76555901,,0.5758,0.5357
0.3719,21.11935187,24.29361069,17.94565366,13.93414782,,0.5741,0.5336
0.3759,21.21741345,24.09289106,17.9408085,14.10058348,,0.5726,0.5314
0.3799,21.3337732,23.88609304,17.92029024,14.26904611,,0.5713,0.529
0.3839,21.4647112,23.67791544,17.88514235,14.43840975,,0.5701,0.5264
0.3879,21.60913913,23.47171019,17.8364726,14.60861358,,0.569,0.5237
0.3919,21.77185987,23.26619691,17.77370324,14.7840641,,0.5681,0.5209
0.3959,21.95010104,23.0638747,17.6992125,14.96066537,,0.5673,0.5179
0.4,22.14067797,22.86579291,17.61527601,15.13300787,,0.5668,0.5149
0.404,22.34454223,22.6687982,17.52283763,15.30187106,,0.5663,0.5118
0.408,22.55547562,22.47535186,17.42541988,15.46692484,,0.566,0.5087
0.412,22.76897922,22.28458708,17.32463601,15.62959654,,0.5657,0.5056
