KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-40.933
Lateral Mean Cop Position (mm),4.355
Longitudinal Standard Deviation (mm),10.014
Lateral Standard Deviation (mm),8.497
Ellipse Surface (mm²),1578.395
Total Displacement (mm),3799.898
Total Displacement AP (mm),2349.621
Total Displacement ML (mm),2568.208
Mean Velocity (mm/s),63.252
Mean Velocity AP (mm/s),39.111
Mean Velocity ML (mm/s),42.749
Longitudinal Amplitude (mm/s),59.808
Lateral Amplitude (mm/s),40.181
Amplitude Ratio,0.672
Phase Plane AP (mm),54.535
Phase Plane ML (mm),42.413
Max Distance AP (mm),74.865
Max Distance ML (mm),27.103
,Heel,Tip
Weight Distribution (%),64.0,36.0

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.7801000000238418,18.590907947677636,24.725869424881477,20.778116967218423,14.089403946832158,,0.5458,0.5593,
0.7841000000238418,18.764219569935818,24.499395429130423,20.637116430878375,14.217687867082310,,0.5456,0.5562,
0.7881000000238418,18.961083978246577,24.262841476555025,20.469130460708818,14.350921241215508,,0.5456,0.5529,
0.7921000000238418,19.174479593460767,24.022537549941376,20.282557750643534,14.485319285354938,,0.5458,0.5493,
0.7961000000238418,19.391367682116538,23.787974616196987,20.090104156692014,14.616642100343750,,0.5461,0.5458,
0.8,19.607785639229981,23.561018882613787,19.897276772404709,14.745151968528402,,0.5464,0.5423,
0.804,19.824678624735817,23.339334795475338,19.705641091119517,14.870792917981952,,0.5468,0.5388,
0.808,20.037898033230398,23.126893431398482,19.520445859189401,14.990672293026218,,0.5472,0.5354,
0.812,20.243436837678324,22.927658416082568,19.346484606996302,15.103888101505179,,0.5476,0.5322,
0.816,20.441673150227686,22.740868320012357,19.183701884941470,15.212188884457801,,0.5480,0.5292,
0.82,20.629668289703154,22.569333194329133,19.032488467779089,15.316047750276230,,0.5483,0.5263,
0.824,20.804553640405651,22.414209803025493,18.892274453971886,15.414185082725341,,0.5487,0.5237,
0.828,20.966580429505569,22.270658341289348,18.761722541756562,15.503782917149996,,0.5490,0.5213,
0.832,21.112752387852900,22.137030521132260,18.644424345462756,15.582434329637278,,0.5493,0.5191,
0.836,21.239037496955184,22.013973533666654,18.543235401675012,15.648167949431627,,0.5495,0.5171,
0.84,21.342844508483648,21.899868629836796,18.456864972020973,15.700176662007777,,0.5497,0.5155,
